epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,444.225,0.807,1.02227,1.38211,0.7438,0.82073,0.84083,0.58484,1.12455,0.90266,1.90029,0.000990365,0.000990365,0.000990365
43,454.612,0.80703,1.00396,1.40039,0.82503,0.80667,0.83539,0.56315,1.10183,0.9369,1.83713,0.000973861,0.000973861,0.000973861
44,464.992,0.81714,1.03381,1.40471,0.77063,0.77224,0.80221,0.55793,1.05871,0.9715,1.81689,0.000957358,0.000957358,0.000957358
45,475.43,0.76704,0.95439,1.3634,0.84282,0.77489,0.85144,0.59875,1.07957,0.87472,1.80538,0.000940855,0.000940855,0.000940855
46,486.125,0.80503,1.00208,1.39448,0.80024,0.84173,0.85916,0.58819,1.04592,0.89915,1.79579,0.000924352,0.000924352,0.000924352
47,496.591,0.79939,0.97535,1.41126,0.82501,0.79389,0.83742,0.58696,1.05007,0.90049,1.77562,0.000907848,0.000907848,0.000907848
48,507.061,0.7406,0.9339,1.34341,0.76489,0.80833,0.83601,0.59115,1.06744,0.96749,1.77643,0.000891345,0.000891345,0.000891345
49,517.488,0.71658,0.9279,1.32936,0.81611,0.7912,0.84966,0.61834,1.00633,0.88265,1.71474,0.000874842,0.000874842,0.000874842
50,527.967,0.73242,0.94861,1.31771,0.76045,0.785,0.8154,0.55767,1.10672,1.14139,1.84183,0.000858338,0.000858338,0.000858338
51,538.493,0.69701,0.90815,1.31286,0.78244,0.86188,0.85554,0.61941,1.02347,0.83351,1.76965,0.000841835,0.000841835,0.000841835
52,548.974,0.73309,0.91003,1.3424,0.77333,0.75333,0.79325,0.56514,1.05959,0.97852,1.87602,0.000825332,0.000825332,0.000825332
53,559.991,0.72797,0.87091,1.32621,0.83856,0.77944,0.85048,0.58323,1.08893,0.89025,1.82979,0.000808828,0.000808828,0.000808828
54,570.405,0.73386,0.87931,1.34732,0.83118,0.8172,0.88018,0.60617,1.02504,0.84023,1.76155,0.000792325,0.000792325,0.000792325
55,580.894,0.73105,0.88015,1.34151,0.79022,0.78798,0.82859,0.59277,1.0125,0.9426,1.74896,0.000775822,0.000775822,0.000775822
56,591.42,0.715,0.90506,1.32189,0.78267,0.82356,0.85101,0.60986,1.02163,0.86148,1.71813,0.000759318,0.000759318,0.000759318
57,601.956,0.68214,0.84759,1.30605,0.77551,0.78563,0.82886,0.60016,1.02103,0.95047,1.76184,0.000742815,0.000742815,0.000742815
58,612.665,0.69321,0.84413,1.29792,0.74322,0.80678,0.84289,0.5935,0.9999,0.92408,1.72602,0.000726312,0.000726312,0.000726312
59,623.244,0.67974,0.84958,1.28944,0.77596,0.8651,0.87774,0.62305,1.00746,0.80399,1.73715,0.000709809,0.000709809,0.000709809
60,633.941,0.69358,0.85836,1.29466,0.78175,0.83203,0.87292,0.62834,1.01164,0.87639,1.74049,0.000693305,0.000693305,0.000693305
61,644.457,0.63454,0.81165,1.26324,0.82702,0.80722,0.84566,0.62193,1.02844,0.87718,1.76351,0.000676802,0.000676802,0.000676802
62,654.929,0.66248,0.81092,1.27748,0.78485,0.80889,0.83445,0.59889,1.02377,0.92425,1.78379,0.000660299,0.000660299,0.000660299
63,665.376,0.65863,0.81141,1.28695,0.74162,0.84917,0.85381,0.63721,0.96302,0.86739,1.70228,0.000643795,0.000643795,0.000643795
64,675.788,0.63782,0.78543,1.27654,0.76521,0.84447,0.83478,0.60552,0.97489,0.93421,1.68679,0.000627292,0.000627292,0.000627292
65,686.096,0.66698,0.81403,1.28625,0.84767,0.81257,0.85112,0.58343,1.09228,0.84837,1.89262,0.000610789,0.000610789,0.000610789
66,696.483,0.65091,0.80773,1.26727,0.76716,0.84853,0.86289,0.62149,1.01771,0.84848,1.72756,0.000594286,0.000594286,0.000594286
67,707.021,0.67303,0.81174,1.28681,0.82466,0.84699,0.86778,0.63179,0.98332,0.83459,1.71143,0.000577782,0.000577782,0.000577782
68,717.583,0.60854,0.75804,1.24797,0.7756,0.83891,0.84487,0.62021,0.987,0.84823,1.70943,0.000561279,0.000561279,0.000561279
69,728.119,0.60938,0.74327,1.25686,0.7926,0.82444,0.86634,0.64176,0.96399,0.85691,1.65623,0.000544776,0.000544776,0.000544776
70,738.602,0.6243,0.75583,1.2558,0.85718,0.86889,0.8911,0.65822,0.9652,0.7527,1.68596,0.000528272,0.000528272,0.000528272
71,749.12,0.63443,0.74597,1.25057,0.83988,0.8306,0.88473,0.65969,0.93015,0.82078,1.66035,0.000511769,0.000511769,0.000511769
72,759.737,0.58745,0.74591,1.21906,0.84236,0.82,0.89518,0.66997,0.91931,0.78298,1.6293,0.000495266,0.000495266,0.000495266
73,770.525,0.60148,0.75481,1.24105,0.81637,0.87278,0.89004,0.65469,0.94716,0.75961,1.69435,0.000478762,0.000478762,0.000478762
74,781.055,0.60469,0.69611,1.2298,0.74557,0.83141,0.85215,0.64256,0.9229,0.93438,1.66735,0.000462259,0.000462259,0.000462259
75,791.491,0.63535,0.78678,1.24933,0.84479,0.86833,0.88149,0.66461,0.954,0.73986,1.69111,0.000445756,0.000445756,0.000445756
76,801.872,0.59429,0.7169,1.22218,0.80158,0.83695,0.84888,0.63691,0.96523,0.82952,1.74091,0.000429253,0.000429253,0.000429253
77,812.342,0.59204,0.71255,1.2375,0.83415,0.81865,0.86457,0.6483,0.95233,0.81694,1.66987,0.000412749,0.000412749,0.000412749
78,822.862,0.58441,0.7095,1.20891,0.80376,0.85942,0.89053,0.66194,0.96207,0.77053,1.67625,0.000396246,0.000396246,0.000396246
79,833.476,0.57535,0.71147,1.21986,0.84061,0.78515,0.8668,0.64889,0.95876,0.82393,1.68169,0.000379743,0.000379743,0.000379743
80,843.915,0.56146,0.69362,1.20489,0.85798,0.85944,0.89799,0.67259,0.93446,0.72328,1.62771,0.000363239,0.000363239,0.000363239
81,854.47,0.57238,0.67428,1.21878,0.86985,0.86889,0.91851,0.68049,0.92179,0.68409,1.60719,0.000346736,0.000346736,0.000346736
82,865.122,0.56446,0.68389,1.20258,0.87783,0.84598,0.91101,0.67421,0.92244,0.70316,1.61666,0.000330233,0.000330233,0.000330233
83,875.786,0.56411,0.68226,1.20409,0.82462,0.87556,0.90572,0.67065,0.91948,0.71538,1.61511,0.000313729,0.000313729,0.000313729
84,886.473,0.54108,0.64555,1.18474,0.8778,0.83345,0.89788,0.66651,0.91311,0.7541,1.60001,0.000297226,0.000297226,0.000297226
85,897.028,0.54288,0.64871,1.19076,0.85048,0.84013,0.89059,0.67791,0.88485,0.74075,1.57685,0.000280723,0.000280723,0.000280723
86,907.644,0.53248,0.64841,1.19237,0.83357,0.88611,0.89529,0.66643,0.93772,0.74165,1.63522,0.00026422,0.00026422,0.00026422
87,918.101,0.55294,0.64795,1.20053,0.8312,0.85056,0.8841,0.66589,0.92895,0.77757,1.62261,0.000247716,0.000247716,0.000247716
88,928.632,0.54172,0.64529,1.18857,0.84018,0.87312,0.89265,0.66869,0.919,0.75972,1.61159,0.000231213,0.000231213,0.000231213
89,939.317,0.53455,0.64284,1.17766,0.84989,0.86624,0.89338,0.67216,0.90751,0.75497,1.62194,0.00021471,0.00021471,0.00021471
90,950.136,0.54366,0.64776,1.19562,0.858,0.83648,0.89357,0.6787,0.88909,0.72818,1.61033,0.000198206,0.000198206,0.000198206
91,1003.24,0.41781,0.4883,1.17159,0.86036,0.85111,0.8837,0.66156,0.90388,0.75589,1.63843,0.000181703,0.000181703,0.000181703
92,1013.72,0.38087,0.43021,1.13688,0.85234,0.85178,0.88007,0.67034,0.8828,0.73287,1.62887,0.0001652,0.0001652,0.0001652
93,1024.11,0.35499,0.43152,1.13626,0.82896,0.89089,0.89369,0.69052,0.84027,0.72915,1.5929,0.000148696,0.000148696,0.000148696
94,1034.74,0.35011,0.40264,1.10348,0.83892,0.83783,0.88194,0.68977,0.84635,0.76836,1.60349,0.000132193,0.000132193,0.000132193
95,1045.34,0.3353,0.37685,1.08971,0.83806,0.85908,0.8991,0.70042,0.84358,0.73764,1.56967,0.00011569,0.00011569,0.00011569
96,1055.96,0.33958,0.36692,1.08129,0.84387,0.845,0.90692,0.70947,0.82627,0.72715,1.55665,9.91865e-05,9.91865e-05,9.91865e-05
97,1066.67,0.32293,0.37872,1.10368,0.82968,0.86556,0.90524,0.70709,0.83716,0.70409,1.56475,8.26832e-05,8.26832e-05,8.26832e-05
98,1077.24,0.32591,0.3551,1.07396,0.85996,0.84944,0.89738,0.68618,0.87488,0.69851,1.62328,6.61799e-05,6.61799e-05,6.61799e-05
99,1087.89,0.31646,0.33989,1.06601,0.87335,0.83833,0.90659,0.69981,0.83654,0.70429,1.5632,4.96766e-05,4.96766e-05,4.96766e-05
100,1098.52,0.28949,0.33447,1.04709,0.85205,0.84263,0.90059,0.70206,0.82868,0.7073,1.56041,3.31733e-05,3.31733e-05,3.31733e-05
